"id","city","zipcode","post","county"
"1846","Gornje Kusonje","33520","Slatina","Virovitičko-podravska"
"1847","Gornje Ladanje","42207","Vinica","Varaždinska"
"1848","Gornje Makojišće","42220","Novi Marof","Varaždinska"
"1849","Gornje Mokrice","44250","Petrinja","Sisačko-moslavačka"
"1850","Gornje Mrzlo Polje Mrežničko","47250","Duga Resa","Karlovačka"
"1851","Gornje Obuljeno","20236","Mokošica","Dubrovačko-neretvanska"
"1852","Gornje Ogorje","21206","Donje Ogorje","Splitsko-dalmatinska"
"1853","Gornje Orešje","10380","Sveti Ivan Zelina","Zagrebačka"
"1854","Gornje Planjane","22323","Unešić","Šibensko-kninska"
"1855","Gornje Podotočje","10419","Vukovina","Zagrebačka"
"1856","Gornje Pokupje","47286","Mahično","Karlovačka"
"1857","Gornje Postinje","21203","Donji Muć","Splitsko-dalmatinska"
"1858","Gornje Predrijevo","33523","Čađavica","Virovitičko-podravska"
"1859","Gornje Prekrižje","10454","Krašić","Zagrebačka"
"1860","Gornje Prilišće","47271","Netretić","Karlovačka"
"1861","Gornje Primišlje","47240","Slunj","Karlovačka"
"1862","Gornje Psarjevo","10380","Sveti Ivan Zelina","Zagrebačka"
"1863","Gornje Raštane","23207","Sveti Filip i Jakov","Zadarska"
"1864","Gornje Selište","44400","Glina","Sisačko-moslavačka"
"1865","Gornje Selo","21432","Stomorska","Splitsko-dalmatinska"
"1866","Gornje Sitno","21251","Žrnovnica","Splitsko-dalmatinska"
"1867","Gornje Stative","47000","Karlovac","Karlovačka"
"1868","Gornje Taborište","47240","Slunj","Karlovačka"
"1869","Gornje Taborište","44400","Glina","Sisačko-moslavačka"
"1870","Gornje Tihovo","51301","Brod na Kupi","Primorsko-goranska"
"1871","Gornje Utore","22323","Unešić","Šibensko-kninska"
"1872","Gornje Viljevo","33518","Nova Bukovica","Virovitičko-podravska"
"1873","Gornje Vinovo","22323","Unešić","Šibensko-kninska"
"1874","Gornje Vratno","42208","Cestica","Varaždinska"
"1875","Gornje Vrhovine","53223","Vrhovine","Ličko-senjska"
"1876","Gornje Zagorje","47307","Gornje Zagorje","Karlovačka"
"1877","Gornje Zdjelice","43203","Kapela","Bjelovarsko-bilogorska"
"1878","Gornji Andrijevci","35252","Sibinj","Brodsko-posavska"
"1879","Gornji Babin Potok","53223","Vrhovine","Ličko-senjska"
"1880","Gornji Bitelić","21233","Hrvace","Splitsko-dalmatinska"
"1881","Gornji Bjelovac","44431","Donji Kukuruzari","Sisačko-moslavačka"
"1882","Gornji Bogićevci","35429","Gornji Bogićevci","Brodsko-posavska"
"1883","Gornji Borki","43500","Daruvar","Bjelovarsko-bilogorska"
"1884","Gornji Budački","47242","Krnjak","Karlovačka"
"1885","Gornji Bukovac Žakanjski","47276","Žakanje","Karlovačka"
"1886","Gornji Cerovac","47240","Slunj","Karlovačka"
"1887","Gornji Cerovljani","44450","Hrvatska Dubica","Sisačko-moslavačka"
"1888","Gornji Crnogovci","35422","Zapolje","Brodsko-posavska"
"1889","Gornji Čagalić","34551","Lipik","Požeško-slavonska"
"1890","Gornji Čehi","10020","Zagreb-Novi Zagreb","Grad zagreb"
"1891","Gornji Čemehovec","49294","Kraljevec na Sutli","Krapinsko-zagorska"
"1892","Gornji Daruvar","43500","Daruvar","Bjelovarsko-bilogorska"
"1893","Gornji Desinec","10450","Jastrebarsko","Zagrebačka"
"1894","Gornji Dobretin","44440","Dvor","Sisačko-moslavačka"
"1895","Gornji Dolac","21205","Donji Dolac","Splitsko-dalmatinska"
"1896","Gornji Draganec","43240","Čazma","Bjelovarsko-bilogorska"
"1897","Gornji Dragičevci","43240","Čazma","Bjelovarsko-bilogorska"
"1898","Gornji Dragonožec","10253","Donji Dragonožec","Grad zagreb"
"1899","Gornji Dubovec","48265","Raven","Koprivničko-križevačka"
"1900","Gornji Emovci","34000","Požega","Požeško-slavonska"
"1901","Gornji Fodrovec","48267","Orehovec","Koprivničko-križevačka"
"1902","Gornji Furjan","47240","Slunj","Karlovačka"
"1903","Gornji Grahovljani","34550","Pakrac","Požeško-slavonska"
"1904","Gornji Gučani","34322","Brestovac","Požeško-slavonska"
"1905","Gornji Hrastovac","44430","Hrvatska Kostajnica","Sisačko-moslavačka"
"1906","Gornji Hrašćan","40306","Macinec","Međimurska"
"1907","Gornji Hruševec","10413","Kravarsko","Zagrebačka"
"1908","Gornji Humac","21424","Pražnica","Splitsko-dalmatinska"
"1909","Gornji Jalšovec","49216","Desinić","Krapinsko-zagorska"
"1910","Gornji Javoranj","44440","Dvor","Sisačko-moslavačka"
"1911","Gornji Karin","23452","Karin","Zadarska"
"1912","Gornji Klasnić","44400","Glina","Sisačko-moslavačka"
"1913","Gornji Kneginec","42204","Turčin","Varaždinska"
"1914","Gornji Koncovčak","40313","Sveti Martin na Muri","Međimurska"
"1915","Gornji Kosinj","53203","Kosinj","Ličko-senjska"
"1916","Gornji Kraljevec","49284","Budinšćina","Krapinsko-zagorska"
"1917","Gornji Kraljevec","40315","Mursko Središče","Međimurska"
"1918","Gornji Kremen","47240","Slunj","Karlovačka"
"1919","Gornji Kućan","42000","Varaždin","Varaždinska"
"1920","Gornji Kukuruzari","44431","Donji Kukuruzari","Sisačko-moslavačka"
"1921","Gornji Kuršanec","40305","Nedelišće","Međimurska"
"1922","Gornji Kuti","51312","Brod Moravice","Primorsko-goranska"
"1923","Gornji Laduč","10292","Šenkovec","Zagrebačka"
"1924","Gornji Lađevac","47240","Slunj","Karlovačka"
"1925","Gornji Lapac","53250","Donji Lapac","Ličko-senjska"
"1926","Gornji Lipovac","35410","Nova Kapela","Brodsko-posavska"
"1927","Gornji Lipovčani","43240","Čazma","Bjelovarsko-bilogorska"
"1928","Gornji Lović","47283","Vivodina","Karlovačka"
"1929","Gornji Ložac","51302","Kuželj","Primorsko-goranska"
"1930","Gornji Macelj","49225","Đurmanec","Krapinsko-zagorska"
"1931","Gornji Marinkovac","10342","Dubrava","Zagrebačka"
"1932","Gornji Martijanec","42232","Donji Martijanec","Varaždinska"
"1933","Gornji Maslarac","48306","Sokolovac","Koprivničko-križevačka"
"1934","Gornji Meljani","33522","Voćin","Virovitičko-podravska"
"1935","Gornji Mihaljevec","40306","Macinec","Međimurska"
"1936","Gornji Miholjac","33520","Slatina","Virovitičko-podravska"
"1937","Gornji Miklouš","43240","Čazma","Bjelovarsko-bilogorska"
"1938","Gornji Mosti","43203","Kapela","Bjelovarsko-bilogorska"
"1939","Gornji Muć","21203","Donji Muć","Splitsko-dalmatinska"
"1940","Gornji Nikšić","47240","Slunj","Karlovačka"
"1941","Gornji Okrug","51317","Crni Lug","Primorsko-goranska"
"1942","Gornji Oštrc","10455","Kostanjevac","Zagrebačka"
"1943","Gornji Oštri Vrh Ozaljski","47280","Ozalj","Karlovačka"
"1944","Gornji Poloj","47252","Barilović","Karlovačka"
"1945","Gornji Popovac","47240","Slunj","Karlovačka"
"1946","Gornji Prnjarovec","10314","Križ","Zagrebačka"
"1947","Gornji Proložac","21264","Donji Proložac","Splitsko-dalmatinska"
"1948","Gornji Rogolji","35430","Okučani","Brodsko-posavska"
"1949","Gornji Selkovac","44400","Glina","Sisačko-moslavačka"
"1950","Gornji Sjeničak","47212","Skakavac","Karlovačka"
"1951","Gornji Skrad","47242","Krnjak","Karlovačka"
"1952","Gornji Slatinik","35201","Podcrkavlje","Brodsko-posavska"
"1953","Gornji Sređani","43506","Dežanovac","Bjelovarsko-bilogorska"
"1954","Gornji Stupnik","10255","Gornji Stupnik","Zagrebačka"
"1955","Gornji Sušobreg 97-140","49246","Marija Bistrica","Krapinsko-zagorska"
"1956","Gornji Šajn","51312","Brod Moravice","Primorsko-goranska"
"1957","Gornji Šehovac","51312","Brod Moravice","Primorsko-goranska"
"1958","Gornji Škrnik","49296","Zagorska Sela","Krapinsko-zagorska"
"1959","Gornji Štrbci","53250","Donji Lapac","Ličko-senjska"
"1960","Gornji Tkalec","48265","Raven","Koprivničko-križevačka"
"1961","Gornji Tomaš","43000","Bjelovar","Bjelovarsko-bilogorska"
"1962","Gornji Trupci","10253","Donji Dragonožec","Grad zagreb"
"1963","Gornji Turni","51300","Delnice","Primorsko-goranska"
"1964","Gornji Uljanik","43507","Uljanik","Bjelovarsko-bilogorska"
"1965","Gornji Vaganac","53233","Ličko Petrovo Selo","Ličko-senjska"
"1966","Gornji Varoš","35435","Stara Gradiška","Brodsko-posavska"
"1967","Gornji Velemerić","47252","Barilović","Karlovačka"
"1968","Gornji Viduševac","44400","Glina","Sisačko-moslavačka"
"1969","Gornji Vinkovec","10383","Komin","Zagrebačka"
"1970","Gornji Vinjani","21260","Imotski","Splitsko-dalmatinska"
"1971","Gornji Vrhovci","34330","Velika","Požeško-slavonska"
"1972","Gornji Vučkovići","51325","Moravice","Primorsko-goranska"
"1973","Gornji Vukašinac","10342","Dubrava","Zagrebačka"
"1974","Gornji Vukojevac","44272","Lekenik","Sisačko-moslavačka"
"1975","Gornji Vukšići","51325","Moravice","Primorsko-goranska"
"1976","Gornji Zagon","51251","Ledenice","Primorsko-goranska"
"1977","Gornji Zatezali","47262","Generalski Stol","Karlovačka"
"1978","Gornji Zbilj","49216","Desinić","Krapinsko-zagorska"
"1979","Gornji Zebanec","40314","Selnica","Međimurska"
"1980","Gornji Zvečaj","47261","Zvečaj","Karlovačka"
"1981","Gornji Žagari","51306","Čabar","Primorsko-goranska"
"1982","Gornji Žirovac","44440","Dvor","Sisačko-moslavačka"
"1983","Goršćaki","47286","Mahično","Karlovačka"
"1984","Goršćaki Ozaljski","47280","Ozalj","Karlovačka"
"1985","Goršeti","51312","Brod Moravice","Primorsko-goranska"
"1986","Goruševnjak","42207","Vinica","Varaždinska"
"1987","Gospić","53000","Gospić","Ličko-senjska"
"1988","Gostenje","49216","Desinić","Krapinsko-zagorska"
"1989","Gostinjac","51514","Dobrinj","Primorsko-goranska"
"1990","Gostović","10340","Vrbovec","Zagrebačka"
"1991","Gošić","22305","Kistanje","Šibensko-kninska"
"1992","Gotalovac","49284","Budinšćina","Krapinsko-zagorska"
"1993","Gotalovo","48331","Gola","Koprivničko-križevačka"
"1994","Goveđari","20226","Goveđari","Dubrovačko-neretvanska"
"1995","Goveđe Polje","43506","Dežanovac","Bjelovarsko-bilogorska"
"1996","Grab","23440","Gračac","Zadarska"
"1997","Grab","21242","Grab","Splitsko-dalmatinska"
"1998","Grabarak","10453","Gorica Svetojanska","Zagrebačka"
"1999","Grabarje","34312","Sesvete (kod Požege)","Požeško-slavonska"
"2000","Grabarje","35201","Podcrkavlje","Brodsko-posavska"
"2001","Grabarska","47222","Cetingrad","Karlovačka"
"2002","Grabe","49228","Brestovec Orehovički","Krapinsko-zagorska"
"2003","Graberanec","10340","Vrbovec","Zagrebačka"
"2004","Graberec","10342","Dubrava","Zagrebačka"
"2005","Graberje","44250","Petrinja","Sisačko-moslavačka"
"2006","Graberje Ivaničko","10313","Graberje Ivaničko","Zagrebačka"
"2007","Grabersko Brdo","10313","Graberje Ivaničko","Zagrebačka"
"2008","Graberščak","48265","Raven","Koprivničko-križevačka"
"2009","Grabić","33520","Slatina","Virovitičko-podravska"
"2010","Grabik","43240","Čazma","Bjelovarsko-bilogorska"
"2011","Graboštani","44430","Hrvatska Kostajnica","Sisačko-moslavačka"
"2012","Grabovac","31309","Kneževi Vinogradi","Osječko-baranjska"
"2013","Grabovac","23242","Posedarje","Zadarska"
"2014","Grabovac","47245","Rakovica","Karlovačka"
"2015","Grabovac","21271","Grabovac","Splitsko-dalmatinska"
"2016","Grabovac Banski","44204","Jabukovac","Sisačko-moslavačka"
"2017","Grabovac Drežnički","47246","Drežnik Grad","Karlovačka"
"2018","Grabovac Krnjački","47242","Krnjak","Karlovačka"
"2019","Grabovac Vojnićki","47242","Krnjak","Karlovačka"
"2020","Grabovci","22215","Zaton","Šibensko-kninska"
"2021","Grabovica","44440","Dvor","Sisačko-moslavačka"
"2022","Grabovnica","43240","Čazma","Bjelovarsko-bilogorska"
"2023","Grabovo","32232","Sotin","Vukovarsko-srijemska"
"2024","Grabričina","44316","Velika Ludina","Sisačko-moslavačka"
"2025","Grabrić","10345","Gradec","Zagrebačka"
"2026","Grabrk","47251","Bosiljevo","Karlovačka"
"2027","Grabrov Potok","44316","Velika Ludina","Sisačko-moslavačka"
"2028","Grabrova","51417","Mošćenička Draga","Primorsko-goranska"
"2029","Grabrovec","49210","Zabok","Krapinsko-zagorska"
"2030","Grabrovnica","33405","Pitomača","Virovitičko-podravska"
"2031","Grabrovnik","40312","Štrigova","Međimurska"
"2032","Grabušić","53230","Korenica","Ličko-senjska"
"2033","Gračac","22222","Skradin","Šibensko-kninska"
"2034","Gračac","23440","Gračac","Zadarska"
"2035","Gračac Slavetički","10454","Krašić","Zagrebačka"
"2036","Gračanica Šišinečka","44400","Glina","Sisačko-moslavačka"
"2037","Gračec","10370","Dugo Selo","Zagrebačka"
"2038","Gračina","48260","Križevci","Koprivničko-križevačka"
"2039","Gračišće","52403","Gračišće","Istarska"
"2040","Gradac","22322","Ružić","Šibensko-kninska"
"2041","Gradac","21330","Gradac","Splitsko-dalmatinska"
"2042","Gradac","51253","Bribir","Primorsko-goranska"
"2043","Gradac","34310","Pleternica","Požeško-slavonska"
"2044","Gradac Našički","31500","Našice","Osječko-baranjska"
"2045","Gradac Orlovac","47000","Karlovac","Karlovačka"
"2046","Gradec","10345","Gradec","Zagrebačka"
"2047","Gradec Pokupski","10451","Pisarovina","Zagrebačka"
"2048","Gradečki Pavlovec","10345","Gradec","Zagrebačka"
"2049","Gradići","10410","Velika Gorica","Zagrebačka"
"2050","Gradina","22221","Lozovac","Šibensko-kninska"
"2051","Gradina","20270","Vela Luka","Dubrovačko-neretvanska"
"2052","Gradina","52450","Vrsar (Orsera)","Istarska"
"2053","Gradina","33411","Gradina","Virovitičko-podravska"
"2054","Gradina Korenička","53230","Korenica","Ličko-senjska"
"2055","Gradinje","52402","Cerovlje","Istarska"
"2056","Gradinje","52427","Livade (Levade)","Istarska"
"2057","Gradiščak","40313","Sveti Martin na Muri","Međimurska"
"2058","Gradišće","52341","Žminj","Istarska"
"2059","Gradišće","47261","Zvečaj","Karlovačka"
"2060","Gradište","32273","Gradište","Vukovarsko-srijemska"
"2061","Gradište","34343","Bektež","Požeško-slavonska"
"2062","Gradna","10430","Samobor","Zagrebačka"
"2063","Gradski Vrhovci","34000","Požega","Požeško-slavonska"
"2064","Gradusa Posavska","44210","Sunja","Sisačko-moslavačka"
"2065","Gramalj","51311","Skrad","Primorsko-goranska"
"2066","Grana","42220","Novi Marof","Varaždinska"
"2067","Grandić Breg","47280","Ozalj","Karlovačka"
"2068","Grandići","52207","Barban","Istarska"
"2069","Granice","31500","Našice","Osječko-baranjska"
"2070","Graničari","10257","Brezovica","Grad zagreb"
"2071","Granje","34308","Jakšić","Požeško-slavonska"
"2072","Grbajel","51302","Kuželj","Primorsko-goranska"
"2073","Grbaševec","48312","Rasinja","Koprivničko-križevačka"
"2074","Grbavac","43290","Grubišno Polje","Bjelovarsko-bilogorska"
"2075","Grbavac","20207","Mlini","Dubrovačko-neretvanska"
"2076","Grbavac","21312","Podstrana","Splitsko-dalmatinska"
"2077","Grbe","23232","Nin","Zadarska"
"2078","Grdak","48306","Sokolovac","Koprivničko-križevačka"
"2079","Grdanjci","10432","Bregana","Zagrebačka"
"2080","Grdenci","49210","Zabok","Krapinsko-zagorska"
"2081","Grdoselo","52000","Pazin","Istarska"
"2082","Grdun","47281","Mali Erjavec","Karlovačka"
"2083","Grebaštica","22000","Šibenik","Šibensko-kninska"
"2084","Greda","10341","Lonjica","Zagrebačka"
"2085","Greda","42243","Maruševec","Varaždinska"
"2086","Greda","44273","Sela","Sisačko-moslavačka"
"2087","Greda Breška","10310","Ivanić-Grad","Zagrebačka"
"2088","Greda Sunjska","44210","Sunja","Sisačko-moslavačka"
"2089","Gredenec","49234","Petrovsko","Krapinsko-zagorska"
"2090","Gredice","49290","Klanjec","Krapinsko-zagorska"
"2091","Gređani","35430","Okučani","Brodsko-posavska"
"2092","Gređani","44415","Topusko","Sisačko-moslavačka"
"2093","Gregurić Breg","10430","Samobor","Zagrebačka"
"2094","Gregurovec","49252","Mihovljan","Krapinsko-zagorska"
"2095","Gregurovec","49217","Krapinske Toplice","Krapinsko-zagorska"
"2096","Gregurovec","48265","Raven","Koprivničko-križevačka"
"2097","Grešćevina","42223","Varaždinske Toplice","Varaždinska"
"2098","Grganjica","47261","Zvečaj","Karlovačka"
"2099","Grgetići","10455","Kostanjevac","Zagrebačka"
"2100","Grgetići","10456","Kalje","Zagrebačka"
"2101","Grginac","43226","Veliko Trojstvo","Bjelovarsko-bilogorska"
"2102","Grgurevići","35252","Sibinj","Brodsko-posavska"
"2103","Grgurice","23242","Posedarje","Zadarska"
"2104","Grič","10456","Kalje","Zagrebačka"
"2105","Griče","47272","Ribnik","Karlovačka"
"2106","Grimalda","52402","Cerovlje","Istarska"
"2107","Grižane","51244","Grižane","Primorsko-goranska"
"2108","Grižići","35252","Sibinj","Brodsko-posavska"
"2109","Grkaveščak","40313","Sveti Martin na Muri","Međimurska"
"2110","Grkine","48350","Đurđevac","Koprivničko-križevačka"
"2111","Grletinec","49231","Hum na Sutli","Krapinsko-zagorska"
"2112","Grljevac","21312","Podstrana","Splitsko-dalmatinska"
"2113","Grmov","51556","Martinšćica","Primorsko-goranska"
"2114","Grmušani","44440","Dvor","Sisačko-moslavačka"
"2115","Grobnik","51218","Dražice","Primorsko-goranska"
"2116","Grobnik","47240","Slunj","Karlovačka"
"2117","Grobnik","52402","Cerovlje","Istarska"
"2118","Grohot","49216","Desinić","Krapinsko-zagorska"
"2119","Grohote","21430","Grohote","Splitsko-dalmatinska"
"2120","Gromača","20234","Orašac","Dubrovačko-neretvanska"
"2121","Gromačnik","35252","Sibinj","Brodsko-posavska"
"2122","Gromin Dolac","21465","Jelsa","Splitsko-dalmatinska"
"2123","Grožnjan","52429","Grožnjan (Grisignana)","Istarska"
"2124","Gršćaki","47250","Duga Resa","Karlovačka"
"2125","Grtovec","49284","Budinšćina","Krapinsko-zagorska"
"2126","Grubići","52447","Vižinada (Visinada)","Istarska"
"2127","Grubine","21262","Kamenmost","Splitsko-dalmatinska"
"2128","Grubišno Polje","43290","Grubišno Polje","Bjelovarsko-bilogorska"
"2129","Gruda","20215","Gruda","Dubrovačko-neretvanska"
"2130","Grudnjak","33513","Zdenci","Virovitičko-podravska"
"2131","Gržini","52341","Žminj","Istarska"
"2132","Gubaševo","49210","Zabok","Krapinsko-zagorska"
"2133","Gubavčevo Polje","23440","Gračac","Zadarska"
"2134","Guci Draganički","10450","Jastrebarsko","Zagrebačka"
"2135","Guće Selo","51302","Kuželj","Primorsko-goranska"
"2136","Gudača","23275","Ugljan","Zadarska"
"2137","Gudalji","47285","Radatovići","Karlovačka"
"2138","Gudci","10412","Donja Lomnica","Zagrebačka"
"2139","Gudovac","43251","Gudovac","Bjelovarsko-bilogorska"
"2140","Gundinci","35222","Gundinci","Brodsko-posavska"
"2141","Gunja","32260","Gunja","Vukovarsko-srijemska"
"2142","Gunjevci","35422","Zapolje","Brodsko-posavska"
"2143","Gusakovec","49245","Gornja Stubica","Krapinsko-zagorska"
"2144","Gustelnica","10418","Dubranec","Zagrebačka"
"2145","Gusti Laz","51301","Brod na Kupi","Primorsko-goranska"
"2146","Gustirna","21222","Marina","Splitsko-dalmatinska"
"2147","Gušće","44203","Gušće","Sisačko-moslavačka"
"2148","Gušćerovec","48267","Orehovec","Koprivničko-križevačka"
"2149","Gvozd","44410","Gvozd","Sisačko-moslavačka"
"2150","Gvozdanska","33533","Pivnica Slavonska","Virovitičko-podravska"
"2151","Gvozdansko","44440","Dvor","Sisačko-moslavačka"
"2152","Habjanovac","10343","Nova Kapela","Zagrebačka"
"2153","Habjanovci","31223","Brođanci","Osječko-baranjska"
"2154","Hađer","44400","Glina","Sisačko-moslavačka"
"2155","Haganj","10343","Nova Kapela","Zagrebačka"
"2156","Hajdine","51326","Vrbovsko","Primorsko-goranska"
"2157","Hajtić","44400","Glina","Sisačko-moslavačka"
"2158","Hambarište","51326","Vrbovsko","Primorsko-goranska"
"2159","Hampovica","48350","Đurđevac","Koprivničko-križevačka"
"2160","Harina Zlaka","49296","Zagorska Sela","Krapinsko-zagorska"
"2161","Harkanovci","31227","Zelčin","Osječko-baranjska"
"2162","Harmica","10292","Šenkovec","Zagrebačka"
"2163","Hartje","10456","Kalje","Zagrebačka"
"2164","Havidić Selo","10253","Donji Dragonožec","Grad zagreb"
"2165","Heki","52000","Pazin","Istarska"
"2166","Hemuševec","40325","Draškovec","Međimurska"
"2167","Heraki","52448","Sveti Lovreč","Istarska"
"2168","Hercegovac","43284","Hercegovac","Bjelovarsko-bilogorska"
"2169","Herešin","48000","Koprivnica","Koprivničko-križevačka"
"2170","Hižakovec","49240","Donja Stubica","Krapinsko-zagorska"
"2171","Hižanovec","48269","Kalnik","Koprivničko-križevačka"
"2172","Hladna Voda","48361","Kalinovac","Koprivničko-križevačka"
"2173","Hlapa","51514","Dobrinj","Primorsko-goranska"
"2174","Hlapičina","40313","Sveti Martin na Muri","Međimurska"
"2175","Hlebine","48323","Hlebine","Koprivničko-križevačka"
"2176","Hlevci","51314","Ravna Gora","Primorsko-goranska"
"2177","Hlevnica","49225","Đurmanec","Krapinsko-zagorska"
"2178","Hodilje","20230","Ston","Dubrovačko-neretvanska"
"2179","Hodinci","47283","Vivodina","Karlovačka"
"2180","Hodošan","40320","Donji Kraljevec","Međimurska"
"2181","Homer","51316","Lokve","Primorsko-goranska"
"2182","Homoljac","53230","Korenica","Ličko-senjska"
"2183","Horvati","10436","Rakov Potok","Zagrebačka"
"2184","Horvatsko","42244","Klenovnik","Varaždinska"
"2185","Hosnik","51311","Skrad","Primorsko-goranska"
"2186","Hotnja","10414","Pokupsko","Zagrebačka"
"2187","Hrastelnica","44000","Sisak","Sisačko-moslavačka"
"2188","Hrastin","31404","Vladislavci","Osječko-baranjska"
"2189","Hrastina Brdovečka","10299","Marija Gorica","Zagrebačka"
"2190","Hrastina Samoborska","10430","Samobor","Zagrebačka"
"2191","Hrastje","10380","Sveti Ivan Zelina","Zagrebačka"
"2192","Hrastje Plešivičko","10450","Jastrebarsko","Zagrebačka"
"2193","Hrastova Greda","48361","Kalinovac","Koprivničko-križevačka"
"2194","Hrastovac","43280","Garešnica","Bjelovarsko-bilogorska"
"2195","Hrastovac","31403","Vuka","Osječko-baranjska"
"2196","Hrastovec Toplički","42223","Varaždinske Toplice","Varaždinska"
"2197","Hrastovica","44250","Petrinja","Sisačko-moslavačka"
"2198","Hrastovica Vivodinska","47283","Vivodina","Karlovačka"
"2199","Hrastovljan","42232","Donji Martijanec","Varaždinska"
"2200","Hrastovsko","42230","Ludbreg","Varaždinska"
"2201","Hrašća","10450","Jastrebarsko","Zagrebačka"
"2202","Hrašće Turopoljsko","10020","Zagreb-Novi Zagreb","Grad zagreb"
"2203","Hrašćica","42000","Varaždin","Varaždinska"
"2204","Hrašćina","49283","Hraščina-Trgovišće","Krapinsko-zagorska"
"2205","Hrboki","52207","Barban","Istarska"
"2206","Hrebine","10294","Donja Pušća","Zagrebačka"
"2207","Hrebinec","10370","Dugo Selo","Zagrebačka"
"2208","Hreljići","52207","Barban","Istarska"
"2209","Hreljin","51226","Hreljin","Primorsko-goranska"
"2210","Hreljin Ogulinski","47300","Ogulin","Karlovačka"
"2211","Hrgovec","48267","Orehovec","Koprivničko-križevačka"
"2212","Hrib","51304","Gerovo","Primorsko-goranska"
"2213","Hribac","51311","Skrad","Primorsko-goranska"
"2214","Hrkanovci Đakovački","31411","Trnava","Osječko-baranjska"
"2215","Hrnetić-Novaki","47000","Karlovac","Karlovačka"
"2216","Hrnjanec","10382","Donja Zelina","Zagrebačka"
"2217","Hrnjevac","34335","Vetovo","Požeško-slavonska"
"2218","Hromec","49225","Đurmanec","Krapinsko-zagorska"
"2219","Hrsina","47251","Bosiljevo","Karlovačka"
"2220","Hrsovo","48214","Sveti Ivan Žabno","Koprivničko-križevačka"
"2221","Hršak Breg","49217","Krapinske Toplice","Krapinsko-zagorska"
"2222","Hrščevani","21262","Kamenmost","Splitsko-dalmatinska"
"2223","Hrtić","44440","Dvor","Sisačko-moslavačka"
"2224","Hruščica","10373","Ivanja Reka","Grad zagreb"
"2225","Hruševec","49240","Donja Stubica","Krapinsko-zagorska"
"2226","Hruševec Kupljenski","10295","Kupljenovo","Zagrebačka"
"2227","Hruševec Pušćanski","10294","Donja Pušća","Zagrebačka"
"2228","Hruševec Pušćanski (dio)","10295","Kupljenovo","Zagrebačka"
"2229","Hruškovec","10347","Rakovec","Zagrebačka"
"2230","Hruškovica","10340","Vrbovec","Zagrebačka"
"2231","Hrvace","21233","Hrvace","Splitsko-dalmatinska"
"2232","Hrvatska Dubica","44450","Hrvatska Dubica","Sisačko-moslavačka"
"2233","Hrvatska Kostajnica","44430","Hrvatska Kostajnica","Sisačko-moslavačka"
"2234","Hrvatski Čuntić","44204","Jabukovac","Sisačko-moslavačka"
"2235","Hrvatski Leskovac","10251","Hrvatski Leskovac","Grad zagreb"
"2236","Hrvatsko","51303","Plešce","Primorsko-goranska"
"2237","Hrvatsko Polje","53220","Otočac","Ličko-senjska"
"2238","Hrvatsko Selo","44415","Topusko","Sisačko-moslavačka"
"2239","Hrvatsko Žarište","47242","Krnjak","Karlovačka"
"2240","Hrženica","42233","Sveti Đurđ","Varaždinska"
"2241","Hrženik","10454","Krašić","Zagrebačka"
"2242","Hudi Bitek","10257","Brezovica","Grad zagreb"
"2243","Hudovljani","48000","Koprivnica","Koprivničko-križevačka"
"2244","Hudovo","10347","Rakovec","Zagrebačka"
"2245","Hum","52425","Roč","Istarska"
"2246","Hum","33520","Slatina","Virovitičko-podravska"
"2247","Hum Bistrički","49246","Marija Bistrica","Krapinsko-zagorska"
"2248","Hum Košnički","49216","Desinić","Krapinsko-zagorska"
"2249","Hum na Sutli","49231","Hum na Sutli","Krapinsko-zagorska"
"2250","Hum Stubički","49245","Gornja Stubica","Krapinsko-zagorska"
"2251","Hum Varoš","33520","Slatina","Virovitičko-podravska"
"2252","Hum Zabočki","49210","Zabok","Krapinsko-zagorska"
"2253","Humac","21465","Jelsa","Splitsko-dalmatinska"
"2254","Humljani","33514","Čačinci","Virovitičko-podravska"
"2255","Husain","44320","Kutina","Sisačko-moslavačka"
"2256","Husinec","49283","Hraščina-Trgovišće","Krapinsko-zagorska"
"2257","Husje","47000","Karlovac","Karlovačka"
"2258","Hutin","10454","Krašić","Zagrebačka"
"2259","Hvar","21450","Hvar","Splitsko-dalmatinska"
"2260","Ičići","51414","Ičići","Primorsko-goranska"
"2261","Ićevo","22222","Skradin","Šibensko-kninska"
"2262","Igrane","21329","Igrane","Splitsko-dalmatinska"
"2263","Igrišće","10297","Jakovlje","Zagrebačka"
"2264","Ika","51414","Ičići","Primorsko-goranska"
"2265","Ilača","32248","Ilača","Vukovarsko-srijemska"
"2266","Ilmin Dvor","33523","Čađavica","Virovitičko-podravska"
"2267","Ilok","32236","Ilok","Vukovarsko-srijemska"
"2268","Ilova","44320","Kutina","Sisačko-moslavačka"
"2269","Ilovac","47280","Ozalj","Karlovačka"
"2270","Ilovačak","44400","Glina","Sisačko-moslavačka"
"2271","Ilovik","51552","Ilovik","Primorsko-goranska"
"2272","Ilovik","51218","Dražice","Primorsko-goranska"
"2273","Ilovski Klokočevac","43284","Hercegovac","Bjelovarsko-bilogorska"
"2274","Imbrijovec Jalžabetski","42203","Jalžabet","Varaždinska"
"2275","Imbriovec","48316","Đelekovec","Koprivničko-križevačka"
"2276","Imotica","20205","Topolo","Dubrovačko-neretvanska"
"2277","Imotski","21260","Imotski","Splitsko-dalmatinska"
